"","cellSource","probe","age","SPA","SPAM","SPAMcell","cellType","ADAMTS2","AIM2","ANG","APP","AREG","ATOH8","B2M","BCL2","BCL6","C3_1","C3_2","C5_1","C5_2","CAMP","CCL24","CCL3","CCL8","CCR1","CCR2","CCR3","CCR4","CCR5","CCR6","CCR7","CD274","CD28","CD3E","CD4","CD40","CD44","CD52","CD53","CD8A","CDC42_1","CDC42_2","CEACAM1","CFH","CMA1","CRISPLD2","CSF1","CSF1R","CSF2","CTLA4","CTNNB1","CXCL10_1","CXCL10_2","CXCL2","CXCL9","CXCR3","CXCR4","DEFB1","ECM1","EGFL6","EGR1","EGR2","ENG","F13A1","F2R","F2RL2","FFAR2","FGF9","FGFR2","FNDC4","FOXP3","FURIN","FYN","FZD1","GAPDH","GATA3","GRN","GSK3A","GSK3B","HBEGF","HGF","HIF1A","HLA-DRA","HMGB1","HMOX1","ICAM1","ICOS","IFI44","IFI44L","IFIT1","IFIT3","IFNAR1","IFNAR2","IFNG_1","IFNG_2","IFNGR1_1","IFNGR1_2","IGF1","IL10","IL12RB1_1","IL12RB1_2","IL17A_1","IL17A_2","IL1A","IL1B","IL2","IL21","IL22","IL25","IL26","IL2RA","IL3","IL4","IL4R","IL5","IL5RA","IL7","IL7R","IRF1","IRF2","IRF4","IRF7","IRF9","ISG15","ITGA4","ITGAL","ITGB1","ITGB2","JAG1","JAK1","JAK2","LEF1","LGALS3","LRP5","LRP6","LY6E","MMP2","MMP24","MMP25","MMP28","MMP9","NFKB1","NLRP3","NPNT","NR4A1","OSM","P3H4","PDCD1_1","PDCD1_2","PDGFA","PDGFB","PI3","PPARA","PPARG","PPARGC1A","PTEN","PTGES2","RAC1_1","RAC1_2","RAC2_1","RAC2_2","REG3G","RHO","RORC","RPL13A","SDC1","SOCS3","STAT1","STAT3","STAT4","STAT5B","SYK","TBX21","TCF7","TGFA","TGFB1","TGFB3","TGFBR2","THBS1","TNF_1","TNF_2","TNFAIP3","TNFRSF1A_1","TNFRSF1A_2","TNFRSF1B","TNFRSF21","TPSB2","TRAF2","TRAF3IP2","TSPAN2","TYK2","VAV1","VEGFA","VEGFB","VEGFC","VWF","WNT1","ZAP70","ZEB2"
"1","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_A11",0,0,11.39305556,0,0,0,14.73870167,11.53095146,0,4.49667849,4.38575014,0,0,2.78662597,8.18082206,8.50623599,6.38511427,0,9.9173153,11.24006304,10.13654633,0,10.80022258,10.9305974,0,9.62336052,11.16802133,0,11.37049141,8.99171177,10.80818631,11.12339939,0,13.24548109,13.79323325,4.27923614,0,11.5637347,0,0,0,0,12.25512714,0,10.2801608,10.90816762,6.77700992,0,0,12.75683895,0,0,0,0,0,0,0,10.71885347,5.00523716,9.99573767,0,0,3.34656682,0,7.96314534,9.91462475,11.07800365,11.75761288,7.42319157,5.47300229,7.85431954,0,0,0,9.24513974,0,11.357231,4.6511561,9.65522604,8.88566953,13.09519402,9.11128717,11.42042537,11.60285929,0,6.56059994,0,0,9.95385038,10.81572016,0,0,7.55562279,0,0,0,1.03563835,10.62211395,0,0,9.91614073,11.30530671,8.08654445,0,0,0,5.94572979,0,0,0,13.15000985,6.4035744,6.55939374,0,0,10.39951627,0,6.6848392,10.98655694,8.14177583,9.59870154,0,9.62107146,10.61214299,0,0,0,3.84656299,9.95801954,0,0,4.90425122,7.80307974,0,9.20571094,7.65576967,0,4.75394256,8.94557108,0.290493819999998,0,10.45640723,0,0,8.34914165,0,0,0,8.76507819,0,10.65704074,11.69685497,10.28591432,11.00327434,11.75472594,0,9.09487126,13.72143453,0,7.07433335,9.97792445,8.33717302,8.58746109,0,0,6.83004376,8.48299793,0,10.98467179,0,9.27847461,13.04935641,10.10899284,9.91303581,11.57685258,6.07056641,7.180531,7.68876122,0,9.21605936,6.7296131,0,0,7.19727405,7.80780088,0,8.73130878,0,0,2.19368473,9.72702746,0
"2","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_A12",0,1.56326937,8.05831393,0,0,1.23562532,13.70932504,7.05331779,0,0,0,0,0,0,3.39970943,0,0,0,8.8299092,7.69682214,9.85903948,9.52658633,1.73568468,5.61624702,0,9.84651981,11.52068586,0,8.10423861,8.42066242,10.15240377,10.43716769,2.21982932,11.23035853,11.65471893,0.611723560000001,0,0,0,0,0,0,8.73590024,8.65584108,5.09914086,5.83789741,0,0,6.19250304,11.6824387,0,0,0,0,0,0,0,9.05430475,3.0459735,8.81725071,0,0,0,0,8.05566019,9.02550213,0,10.29354115,0,0,7.03131162,7.30374801,0,0,8.76932299,0,7.94685316,0,0,0,8.67586313,1.48969578,6.13367348,8.59338698,6.92499301,0,0,0,9.23918749,10.05011854,0,0,0,0,0,0,0,2.92254403,0,0,5.27883195,7.92600677,0,0,0,0,6.24351446,0,0,0,10.94120495,0,7.74812793,0,0,7.71080017,0,6.68184594,6.98403933,7.6611491,8.62928623,0,9.58822577,8.54367394,0,6.12293334,0,0,8.71076298,0,0,0,6.27674444,0,6.76031676,4.18953827,0,0,0,0.229246289999999,0,6.22056283,0,0,3.80168558,0,0,0,7.28494457,0,3.97746501,5.27795222,11.36539446,11.98346996,0,0,5.38558181,12.87398612,0,0,0,7.74967177,6.70734417,7.4898126,0,0,7.09708644,0,10.20283648,0,8.63036649,0,4.5840886,2.26497451,9.69068613,4.49111419,6.94400639,6.65491244,0,3.49843165,0,0,0,0,7.77354981,0,0,0,0,0,7.40362798,0
"3","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_B11",0,0,0,0,0,0,13.16595002,10.12245544,0,0,0,0,0,0,0,0,3.75682921,0,9.29753968,7.58288649,10.46619594,0,7.78332377,8.19726709,0,8.09718686,10.47365004,4.24778727,0,9.39556577,11.51514968,9.99511246,2.79987941,11.35378476,11.67486317,0,0,5.41750404,0,0,0,0,8.34478761,8.44651243,6.22876101,6.67406419,0,0,3.85130407,11.37393407,0,0,0,0,0,0,0,6.33802478,2.73055821,8.37109031,0,0,0,0,8.08079216,8.07919044,0,10.64916977,5.13942927,6.74121833,7.09203431,6.82887233,0,0,7.55078238,0,8.63352898,0,0,0,9.20706164,5.71375687,0.337397159999998,7.94738199,0,4.32256893,0,0,9.14271257,9.66802836,0,0,6.8955968,0.56135021,0,0,0,0,0,0,5.51586442,5.24891705,0,0,0,0,0,0,0,0,12.62843246,8.1456144,0,0,0,6.55459587,5.22672386,0,8.299747,7.67568153,7.87902766,0,10.26966717,8.17509297,0,6.28186936,0,0,8.25096122,0,0,0,7.18431611,0,6.98093261,2.48851986,0,0,8.67003633,0,0,0,0,0,0,0,0,0,0,8.57399215,0,0,10.68747554,11.11443217,3.19154994,0,8.33449373,13.19012308,0.915261149999999,0,0,3.19034862,0,6.7153313,0,7.01027896,6.40893782,0,8.74504249,0,9.19901176,0,0,4.9578254,11.87161328,0,0,0.960932759999999,0,5.29230774,6.90005414,0,0,5.65689265,0,0,6.88615542,0,0,0,7.2233411,0
"4","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_B12",0,0,8.00460271,5.8192455,0,0,13.46975285,9.28978677,0,0,0,0,0,0,5.30744932,6.28080294,3.53972904,6.19959778,0,7.37266064,9.85132052,0,7.00888785,3.24096002,0,0,10.97494114,0,4.95990916,9.97573689,9.88094672,9.14136522,4.1261721,11.25401776,11.44764083,0,0,3.535248,0,0,0,0,0.21118706,0,4.98792105,5.62128978,0,0,6.90910128,11.62898624,0,0,0,10.41404119,0,0,0,9.64616523,0,5.41580127,0,2.484054,0,0,6.09191063,10.29010868,0,11.1172033,6.15161673,0,7.06586654,6.35785906,0,0,0,0,7.76457432,0,0,8.29045351,9.0679576,5.35101766,5.92740889,5.01395721,0,4.04420997,0,0,9.34731467,10.00694609,0,0,0,0,0,0,2.63506655,0,0,0,0,8.0785639,0,0,0,0,0,0,0,0,12.12098269,0,0,0,6.38037684,5.8255649,3.86958084,9.01146421,9.10566458,1.19878444,7.74677678,0,7.02739649,6.78207281,0,0,0,0,8.75619811,0,0,0,2.77994443,0,0,0,0,0,0,0,0,5.83254969,0,0,0,0,0,0,7.12522288,0,7.92083063,8.66252645,10.26973094,10.68939742,0,0,5.55238502,13.24155119,0,4.09042238,9.56076545,6.24028486,7.22409025,7.60268458,0,9.91101737,7.70220542,0,10.07704792,0,9.14329011,6.66850138,0,0,10.38863842,0,0,1.14410087,0,0,0,0,0,2.35499367,0,0,7.7755586,0,0,0,7.20725527,0
"5","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_C11",0,0,0,0,0,0,0,3.25708174,0,2.83131517,2.39743316,0,0,1.30728251,5.10697099,4.04629144,0,0,0,8.1661402,10.29187711,0,5.44222401,5.00956286,0,0,0,0,0,0,0,0,0,9.7843527,10.48404323,0,0,0,0,0,0,0,7.93639249,0,0,0,3.60200381,0,0,5.80536997,0,0,0,0,0,0,0,0,0,7.57138295,0,0,0,0,0,0,5.79821467,6.37582583,0,0,0,0,0,0,0,0,7.17958136,0,6.88189441,0,9.54021089,3.63874211,0.199356770000001,7.53049875,0,0,0,0,8.49375585,9.28361005,0,0,0,0,0,0,0,6.60493414,0,0,1.54818712,8.01024822,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69716819,0,0,0,0,0,0,0,0.495623559999999,0,0,0,1.89114048,6.17778548,0,0,0,4.11849541,0,0,1.25080027,0,0,0,2.68593133,0,0,0,0,3.08887161,0,0,0,0,0,7.56173808,8.57506345,1.38531522,2.09403017,0.624248810000001,0,0,7.17965814,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04831757,6.38968428,5.97132236,0,0,0,0,0,2.41972295,0,0,0,1.06028723,0,0,0,0,0,0,0,0
"6","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_C12",0,2.95728501,6.9114806,0,0,0,14.496360821,8.79426456,0,0,0,0,0,0,2.83109245,5.86287864,3.50590655,0,7.49367735,7.45525031,9.52596961,0,7.93415627,6.98809868,0,9.40916238,10.66394857,9.86778914,0,10.46701711,11.80620628,9.60601323,0,11.25292165,11.90884299,0.153446410000001,0,8.88806116,0,0,0,0,0,9.86183115,5.65872408,6.41724051,0,0,0,11.14552612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35881387,7.94645063,0,11.53804385,7.23850468,7.9123195,8.47196369,0,0,0,9.92715003,0,8.22443414,0,3.42862821,0,9.75549503,9.41246875,8.60861335,6.02685496,0,0,0,0,9.78346704,10.70448915,0,0,6.98754477,0.85794847,0,0,6.11072054,6.88246625,0,0,1.85687218,5.33467748,0,6.25000361,0,0,6.10862667,0,0,0,14.074668681,8.60190587,8.21512578,0,3.33074325,7.61859952,6.22165687,6.65766669,11.19311136,9.32781218,8.71319431,0,9.24438961,2.99587654,9.14993769,7.2089514,0,0,9.09903152,0,0,0,5.42332088,0,7.12968155,6.01203949,0,0,0,0.49334078,0,0,0,0,1.51387467,6.48163647,0,0,9.12502685,6.51311873,9.35824436,10.20572905,10.88568324,11.66904008,0,0,8.43274104,14.127926939,0,2.1195702,9.9864932,7.76666449,0,8.73443382,0,0,7.87749386,0,9.83662407,0,0,7.44693156,0,0,12.03856404,0,0,6.99446564,0,0.1338984,0,0,0,1.08025053,0,0,7.35364972,0,0,0,9.4790915,0
"7","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_D11",0,0,8.38784328,0,0,0.125741900000001,13.64083687,5.92013828,7.07012178,5.61348297,6.2066057,0,0,0,5.36356408,4.63561902,5.53136376,0,6.54413663,7.60540499,10.17953772,0,7.61932218,6.87204381,0,8.66060236,10.4128174,0,7.79201508,8.53606945,10.35563034,7.03770636,0,10.28367307,10.77536485,0,9.80228874,5.73414259,0,0,0,0,8.11319924,8.5229126,6.93623932,7.92377709,0.956542129999999,0,0,11.87612648,0,0,0,0,0,0,0,8.78167594,1.54398805,3.26774647,0,0,0,0,4.76836049,8.85966581,6.88051011,8.9053387,0,5.1097066,0,6.59481221,0,0,4.90773412,0,0,0,0,0,10.96582564,7.32126234,4.13169075,5.36351177,0,4.16017822,0,0,9.20023573,9.96527343,0,0,5.67873326,0,0,0,0.5389464,6.65549625,0,0,4.858228,0,0,0,0,0,0,0,0,0,12.68589294,6.48781257,6.86648767,0,0,6.93875602,0,0,7.94132187,9.1284734,0,0,8.24165038,0,0,6.82358533,0,2.15841846,8.56563746,0,0,0,0,0,5.42385086,5.78824554,0,0,0,0,0,8.22888834,7.17907131,0,0,0,0,0,0,0,9.12819904,9.90053985,9.69215455,10.34692482,0,0,6.58252736,12.84737258,0,4.58026403,9.3865177,0,0,7.31360065,0,0,4.14854986,6.34746278,8.84868712,0,6.79869862,6.95628941,2.47961789,5.16312793,8.90436173,0,0,1.32282811,0,7.37322523,0,0,0,3.06707114,0,0,0,0,0,0,7.91425859,0
"8","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_D12",0,0,8.27230595,8.10785049,7.71727341,0,14.236298774,7.45828924,0,4.95926277,4.79987987,0,0,0.868848570000001,7.11000997,7.15402168,4.04450304,0,0,4.48761554,10.2054292,7.17859998,9.2656421,8.66433089,0,0,11.09771482,0,9.83131637,9.53741018,9.63824216,10.19828089,0,11.39708272,11.65986116,4.23683646,0,6.35913453,0,0,0,0,9.33880039,7.43677119,7.05028562,7.62878208,6.12448399,0,6.88680815,12.14871772,0,0,0,0,0,0,0,9.72859165,2.52629931,7.37820293,0,0,3.65176535,0,7.07872851,9.59413189,9.07443956,10.84202367,6.92191347,6.80715816,0,5.16042521,0,0,0,0,8.58136543,0,7.80457187,0,10.28029393,5.1674808,8.13288549,8.90730363,8.00025401,4.65176045,0,0,9.27231467,9.92781973,0,0,6.35770996,0,0,0,0,8.23954184,0,0,5.65456401,7.85706702,0,0,0,0,0,0,0,0,13.30762004,6.12752273,6.42867118,0,0,8.37094714,5.40581032,6.59326234,8.11200751,10.12666773,7.59983479,0,9.78935735,8.50316232,0,0,0,0.972942920000001,8.65672393,0,0,0,6.93148718,0,7.87041113,8.17317702,0,5.22425687,4.77972991,0,0,9.0316106,0,7.87776362,5.6872972,0,0,0,9.61306434,0,9.16837651,9.82032899,11.73546458,12.1552794,7.46388886,0,8.95083864,12.60904147,0,6.79853086,8.82549176,0,8.59712668,7.36183874,0,6.82322127,7.3821046,7.16893074,9.49446594,0,10.04026449,9.83724752,7.96980891,7.53517643,12.91590975,0,0,8.59931646,0,7.90774232,0,0,0,3.92118777,0,0,0,0,0,1.70039171,8.55317868,0
"9","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_E11",6.37606016,0,15.131590201,0,0,0,13.37231208,13.09911438,0,11.23935471,10.3629773,0,0,10.0908661,12.66040084,13.27726872,11.42615534,0,0,14.10679671,10.49164185,7.55122931,13.60564395,14.171494714,0,7.17176695,10.01361176,0,14.998095393,7.64923461,10.79519623,10.20026991,1.88921039,15.92114502,16.198170671,10.14026196,0,14.256019404,0,0,0,4.41011599,14.703617308,0,13.85228689,14.213882752,11.79312065,0,12.70320685,14.040756729,0,0,0,0,0,0,0,15.123327371,9.14061531,14.63841463,0,0,8.61335909,6.5290803,12.23786751,7.30313469,13.87240785,13.86870743,7.33086262,12.51443392,0,6.85146868,0,0,0,0,14.515647284,0,14.239395714,7.91828793,15.398680256,12.26939591,14.447821905,14.382794163,5.48788668,0,0,0,9.01706994,9.46928673,0,0,5.73537063,0,1.12496173,0,0,13.73577361,0,0,12.85153172,14.564950161,0,0,0,0,0,0,0,0,11.04506493,10.55525345,0,0,0,14.142889017,7.74512972,7.37182609,7.79207087,7.75042779,8.9091143,0,10.00508875,13.52042503,0,0,0,9.28100394,12.71543493,0,0,0,13.02659634,0,0,13.15052376,0,10.81618043,11.88325331,0,0,14.276286619,0,0,11.6217391,0,0,0,10.32591961,0,13.67553703,14.463561645,10.5674521,11.00787474,14.17918734,0.435100330000001,0,14.61232527,1.58058548,11.82986931,9.36550328,0.8452208,2.15098465,0,0,8.63289631,10.14843097,0,9.14352727,0,8.07907758,15.041075105,12.82348809,12.85628029,8.0007887,0,6.95651006,8.77670601,0,13.42181345,0,0,0,5.89266525,0,0,6.28683371,0,0,8.63422299,8.19248816,9.33374064
"10","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_E12",0,0,5.99507482,0,8.87284017,0,13.63799898,8.06424249,0,0.44215569,0.47316661,0,0,0,5.6370005,5.10595612,0,0,0,8.2745886,10.08568431,8.6860897,7.92276142,3.51629069,0,8.00039227,9.79109599,8.78791102,0,9.77798242,10.43832231,10.32457147,0,10.93864545,11.2959124,0,0,7.75468692,0,0,0,8.0952959,7.04662424,8.3951767,7.46772281,7.76429021,0,0,5.31563259,11.61745798,0,0,0,0,0,0,0,8.67092871,1.62524513,6.54812984,0,0,0,0,0,9.05418076,5.96122553,11.69953022,3.83834225,0,0,0,0,0,7.14458529,0,8.56642153,0,0,0,9.8312657,8.12924605,8.5226907,8.30747447,0,0,0,0,8.83291213,9.29578986,0,0,0,0,0,0,0,0,0,0,6.35626484,0,0,0,0,0,0,0,0,0,13.4969193,6.77974676,6.95468901,0,5.99741694,6.609045,6.81611521,0,6.78711056,10.49037729,7.62467825,0,8.47379943,8.87264589,0,0,0,0.411257750000001,9.12541207,0,0,4.44030037,6.56806929,0,6.85380356,4.16326745,0,1.3798734,0,0,0,0,0,0,0,0,0,0,8.16402502,0,6.77461636,7.19470542,10.72615423,11.16441974,0,0,7.36433368,12.01592828,0,0.662590819999998,7.98589586,6.68233674,0,7.5223848,0,6.34745465,7.00748545,0,8.40458116,0,8.6126243,8.22664549,2.12697114,5.7696275,7.83694045,0,0,6.27606368,0,0,0,7.70248361,0,1.29462678,0,0,0,0,0,0,0,0
"11","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_F11",0,7.06337595,9.1395701,0,0,2.64626455,14.587373726,6.7524556,4.58288994,2.17621307,0.1356872,0,0,0,1.06922526,5.6376242,0,0,8.50434548,7.90421884,10.23986995,9.74745481,0.283392710000001,0,0,0,10.78627036,0,9.23762779,10.35099707,11.27850403,9.900219,4.74894352,11.7544874,12.11368323,0,0,0,0,0,0,0,7.89696704,0,5.5521839,6.19934525,4.65616032,0,0,11.19190779,0,0,0,0,0,0,0,6.03951836,2.87473459,8.42984769,0,0,2.58663831,0,7.03124463,10.20898898,0,10.27078638,5.21139423,0,9.19235713,0,0,0,0,0,7.46703505,0,0,0,9.64577533,6.27862848,7.3946701,8.33986555,0,4.27039141,0,0,8.16609313,8.90670714,0,0,8.11394265,1.62907612,0,0,0.967807530000002,7.46648865,0.103741119999999,0,1.97232401,5.70067999,0,0,0,0,0,0,0,0,12.0538565,9.47826312,0,0,0,7.3468642,5.2581945,6.97101104,8.5019929,9.1596754,8.23459141,0,9.69162607,6.5103419,0,7.49083762,0,3.12442642,7.33442974,0,0,0,4.87480029,0,8.04048701,8.11252995,0,0,6.53383991,2.00703006,0,0,0,0,3.76935173,0,0,0,7.88593105,0,8.15850547,8.66663833,10.44936391,11.01600614,0.71832212,0,8.21379862,12.69014386,0,3.54850014,10.63764242,7.89416505,7.39419696,7.62337951,0,6.75959824,7.55190433,0,10.24328884,0,0,7.63877087,0,0,10.75505815,0,0,7.4945691,0,4.00945825,7.22236823,0,0,6.83541458,0,0,0,0,0,0,9.39293823,6.59212417
"12","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_F12",0,0,8.93336063,0,0,0,14.241121682,8.57921692,0,2.8151929,1.42449387,0,0,0.41271609,0,6.4429174,5.75052122,0,0,6.67951077,9.94184313,9.42453845,8.23080342,0,0,9.39935685,10.84654341,0,0,8.77541199,11.72941935,10.42316478,2.62395958,11.48430818,12.13465072,1.7632776,0,0,0,0,0,0,0,9.09093328,5.25051225,6.39159745,0,0,0,11.98165984,0,0,0,0,0,0,0,9.30236713,1.93660874,0,0,0,0,0,9.15455507,10.10633877,0,10.33584176,7.30347874,0,8.6460695,0,0,0,9.48793361,0,8.93765555,0,0,0,10.01318638,5.11665737,8.89307723,7.91053839,0,0,0,0,7.80296636,8.58844903,0,0,7.90872712,0.506225239999999,0,0,3.83290241,3.20809175,0,0,5.36132152,0,0,0,0,0,0,0,0,0,12.95493439,7.80316669,8.24855844,0,0,6.36288157,4.80129352,9.36309888,0,10.85402309,7.98491821,0,10.21862871,4.44853919,0,0,0,0,9.23838069,0,0,3.22758876,3.85764125,0,7.03920481,6.67500182,0,0,7.87640899,0,0,7.63400711,0,0,1.79798141,0,0,0,7.93589377,7.96445444,6.28297066,7.47171728,10.64519808,11.47009978,7.79075804,0,8.2760901,13.2800109,0,0,0,0,7.06332018,6.78011092,0,0,7.40925913,6.30979422,10.34987001,0,8.09710793,8.89951453,0,0,9.55830425,0,6.99944794,6.52295414,0,0,0,0,0,6.06725406,0,0,8.14961817,0,0,0,8.45564122,0
"13","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_G11",0,0,4.08456564,0,0,0,10.85438865,0,0,0,0,0,0,0.15562736,2.11633829,7.41641582,4.19744982,0,0,7.51216095,10.35790948,6.910609,7.42993105,6.99130732,0,0,0,0,8.01555627,8.49566963,8.03060491,6.6676017,0,9.65439561,10.25265547,0,0,6.73372692,0,0,0,0,7.94324927,0,5.21741882,5.64808843,4.64702181,0,0,10.32206346,0,0,0,0,0,0,0,9.75232646,2.10911902,0,0,0,0,0,0,0,0,6.91268164,0,4.14692382,0,0,0,0,7.14269051,0,8.47036873,0,6.18529824,0.237586889999999,10.37867475,3.31590085,7.77458618,7.97066558,0,4.42388297,0,0,8.50940611,9.39279899,0,0,6.60433947,0,0,0,0.525001920000001,0,0,0,5.99010865,6.14667162,0,0,0,0,0,0,0,0,10.69713901,0,0,0,0,6.80247846,0,0,0,3.93941985,0,0,0,0,0,0,0,0,4.72926409,0,0,0,0,0,7.01797663,0,0,0,0,0,0,0,0,0,6.31994393,0,0,0,0,0,5.09271085,7.19480503,8.49551565,8.9900679,6.56427635,0,0,10.67287657,0,4.78818293,0,0,7.83572145,6.37201759,0,0,2.35346489,0,6.87647498,0,0,8.55167322,6.59446798,6.61786686,0,0,6.79520301,0.56699609,0,0,0,0,0,5.62373357,0,0,0,0,0,0,8.02913441,0
"14","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_G12",0,0,0,0,0,0,6.16255476,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89800157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15678005,0,8.62993547,0,0,0,0,0,0,7.73572103,0,0,0,0,8.10720377,8.92818911,0,0,0,0,0,0,3.59399515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79008341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13489511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","blood","RUS010","blood","blood.RUS010.blood","blood.RUS010.blood.FZ","blood.RUS010.blood.","FZ_RNA_UCM_HU_20211027_P1_SEEP05_CH_JD_RUS010_BL_MAIT_5OPRU_H11",0,0,8.29311402,0,0,0,13.50613712,9.32772622,0,0,0,0,0,0,3.87996537,4.01462837,5.04263504,0,0,7.3444308,9.94689887,0,8.57545633,5.06577872,0,9.24062674,10.84872691,0,6.94860493,8.37920401,11.87791448,10.50472881,0,10.84755579,11.19091277,0,0,3.62528155,0,0,0,0,2.9033377,8.18805098,5.77611843,6.80386499,0,0,0,11.55671245,0,0,0,0,0,0,0,0,1.73681601,8.59262422,0,0,0,0,0,8.75304781,0,10.41101208,5.30593469,0,6.92111543,6.36061339,0,0,7.81146677,0,7.22104058,0,7.14393546,0,9.3669269,1.45154937,2.65511689,7.41664153,0,3.53628961,0,0,9.39401768,10.13621683,0,0,6.33672954,0,0,0,4.97545418,0.586836909999999,0,0,4.38715783,0,0,4.88646164,0,0,0,0,0,0,12.5558599,7.40678106,7.63963487,0,0,6.25589219,4.50292091,0,8.17354238,10.87192274,7.76896125,0,8.15872031,6.96058361,0,4.21779924,0,0,9.15369884,0,0,0,4.23516798,0,7.28087338,4.63909237,0,0,0,3.04222754,0,9.494403,0,0,1.78473293,0,0,0,8.3288218,0,7.61333765,8.20019846,10.54217411,11.07974856,7.81532328,0,8.48132428,11.69635819,0,0,10.03378315,0,0,5.53818576,0,8.33969889,7.60481054,6.89954316,10.2246628,0,6.34622996,4.83819532,6.45960236,7.63292821,8.41608865,0,0,5.92197032,0,0,0,0,0,0,0,0,0,0,0,0,8.79639388,0
